Report Date,label,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,Max Residual
Fri 01 Jul 2022,R1_M20_6477A,0.048180133,0.03591545,0.025798678,0.040909067,0.0057870597,0.020220935,0.030107483,3.6656857e-05,0.00065532327,0.0018834472,0.010987431,0.025820613,0.025592983,0.015891671,0.016090393,0.032125115,0.022634864,0.023233771,0.0046389997,0.019791305,0.022589236,0.0062152743,0.018009648,0.013066456,0.016026586,0.018978745,0.039830863,0.005996585,0.011351109,0.019581169,0.013718575,0.029548615,0.000939697,0.01078853,0.0037612617,0.0050591826,0.015088528,0.030016363,0.0009432435,0.05402273,0.012380183,0.041293293,0.0071065426,0.056687027,0.014356047,0.1172027,0.05149415,0.0719136,0.2739632,0.030228615,0.053049743,0.014803171,0.07361221,0.010581493,0.006319344,0.010105133,0.06215006,0.0063322186,0.0044005513,0.022172987,0.04013586,0.03956765,0.020757139,0.04423529,0.05311227,0.04475659,0.02070272,0.008706629,0.0057564974,0.026853383,0.04523039,0.044784963,0.02005446,0.04904878,0.07745525,0.015486181,0.06172806,0.039749622,0.043847114,0.023403376,0.02905938,0.033776402,0.0027017593,0.017226934,0.039642572,0.033931315,0.0020293891,0.012856543,0.03368172,0.019426107,0.022426546,0.028976142,0.010546178,0.043876886,0.03142014,0.009625524,0.2739632
Fri 01 Jul 2022,R1_M25_4094A,0.012015045,0.0043183416,0.012124151,0.031198919,0.012690365,0.06019056,0.041208923,0.013050735,0.020017296,0.022408754,0.00028586388,0.006041467,0.029183388,0.011623085,0.093363106,0.017867863,0.057006657,0.04962921,0.014680445,0.018574774,0.0076857805,0.0316872,0.037112117,0.017028272,0.015108049,0.009130895,0.031589746,0.016353786,0.010301888,0.0582456,0.024436176,0.0725888,0.008478582,0.02245003,0.002955258,0.0031856298,0.076820016,0.006760776,0.0012549162,0.039218128,0.041793764,0.0147506595,0.07331151,0.0668605,0.015712857,0.051751375,0.007033825,0.057116926,0.038770974,0.016560793,0.018120885,0.009334087,0.0044587255,0.043966174,0.021018207,0.06460011,0.0033038855,0.02551788,0.026391864,0.014097989,0.034529507,0.010876954,0.014899969,0.020198047,0.010849297,0.028850794,0.0052259564,0.019244015,0.015591264,0.038564265,0.009629488,0.025062144,0.044750452,0.026557386,0.0012770295,0.013592422,0.012050748,0.0760836,0.0046088696,0.0007481575,0.048734337,0.009818405,0.007038176,0.024069667,0.0046082735,0.023131192,0.022361398,0.018294245,0.10608536,0.025183648,0.004564345,0.010060102,0.028963387,0.05744052,0.0009986758,0.022395998,0.10608536
Fri 01 Jul 2022,R2_A2_8362A,0.031054914,0.036360443,0.01733458,0.08680987,0.016614318,0.0700776,0.005122602,0.013985157,0.04935962,0.036506712,0.016285181,0.06161195,0.01253587,0.0007637739,0.0041700006,0.08929294,0.052285492,0.024162352,0.014785647,0.01118511,0.0014885366,0.00514403,0.034352303,0.0017385483,0.040902495,0.033779055,0.013091385,0.0057337284,0.008312702,0.024915457,0.009984016,0.020430028,0.0035235286,0.025182366,0.005986929,0.030681014,0.05709362,0.041852534,0.012798846,0.018806696,0.009378433,0.00780952,0.0080138445,0.008407533,0.019705892,0.0377388,0.026003242,0.040706873,0.04023826,0.071309805,0.08136356,0.041061997,0.012983441,0.014495254,0.020529509,0.0070159435,0.0039117336,0.044341803,0.033299506,0.058067262,0.03406477,0.00039458275,0.034807265,0.012477338,0.047022283,0.00034111738,0.009376287,0.0011059046,0.06343806,0.010802805,0.02859646,0.008862734,0.021869957,0.011316419,0.00024592876,0.0065030456,0.008538604,0.009514153,0.00983566,0.007893741,0.022063732,0.025083482,0.02184546,0.012578011,0.07523972,0.00029689074,0.0030902028,0.042708337,0.009615481,0.00044298172,0.032146156,0.004734814,0.0070277452,0.117939174,0.020613909,0.1753698,0.1753698
Fri 01 Jul 2022,R2_A2_8380A,0.036364317,0.02275467,0.05145669,0.072349906,0.007614881,0.052894354,0.007517159,0.018688321,0.050277352,0.0033113956,0.0067363977,0.11055684,0.033280432,0.0015399456,0.009696186,0.08469093,0.017213821,0.024694145,0.011348784,0.009398341,0.0014257729,0.016318172,0.031676233,0.008980155,0.039055854,0.017206043,0.050939113,0.013314635,0.0033354163,0.015929699,0.0055544376,0.015785158,0.01526165,0.02228576,0.014199793,0.008209109,0.043190002,0.020269096,0.03086853,0.0056501627,0.023457408,0.0048514605,0.02112943,0.039415836,0.002692759,0.045302153,0.025235593,0.03837794,0.044421196,0.06643355,0.057348788,0.016868472,0.0119229555,0.03177601,0.021655738,0.0043125153,0.0050287247,0.026616573,0.00024795532,0.06888169,0.04636699,0.020949662,0.0030793548,0.0026448965,0.03695041,0.025302768,0.040990233,0.007010877,0.052710593,0.029149652,0.039155483,0.0012875199,0.010979474,0.03723508,0.0155902505,0.018900394,0.014822245,0.024619162,0.00039333105,0.0531587,0.028305173,0.011436164,0.016302526,0.016616523,0.04317814,0.020503283,0.0011576414,0.043697357,0.007379055,0.0067617893,0.044546425,0.051740587,0.012691081,0.1207304,0.027308822,0.17207241,0.17207241
Fri 01 Jul 2022,R2_M2_8431J,0.042618364,0.006206423,0.01837112,0.026122004,0.005839497,0.028218523,0.015805468,0.010329679,0.011886999,0.01118879,0.01064004,0.001159966,0.015475407,0.0084319115,0.010336503,0.028097264,0.015461743,0.00913018,0.009303406,0.0098252,0.010559931,0.00940311,0.031633005,0.015884675,0.015977263,0.00017076731,0.0034727305,0.0017435402,0.0010140985,0.003468573,0.012834176,0.010145411,0.00532718,0.013455972,0.012324721,0.012520969,0.00283508,0.011214063,0.010738298,0.014791697,0.029500023,0.014789358,0.014515519,0.01458706,0.013424948,0.0061614364,0.004500225,0.0072431117,0.018062815,0.021217108,0.009557843,0.007653758,0.007919043,0.01308991,4.337728e-05,0.009127617,6.753206e-05,0.0001887083,0.015754908,0.02245003,0.02090469,0.019656152,0.0108296275,0.0019567013,0.0029660761,0.010131538,0.03007111,0.011813432,0.01943782,0.009691626,0.0059291422,0.020029634,0.0074313283,0.0146154165,0.013847008,0.00052437186,0.011490583,0.00080287457,0.012870222,0.013386652,0.009059802,0.010939077,0.020830289,0.004130602,0.010304838,0.0018901229,0.0041226745,0.011793613,0.022132188,0.0026580244,0.011670649,0.029759973,0.009656757,0.05692196,0.047784835,0.10315046,0.10315046
Fri 01 Jul 2022,R3_5889_1,0.010777142,0.0015924908,0.0029783435,0.009637505,0.0031200312,0.007982917,0.003479816,0.01754142,0.020381682,0.01580181,0.020027786,0.0007037446,0.01404345,0.007635787,0.011219457,0.0009920821,0.002408892,0.0011645854,0.0062903017,0.032275915,0.014151737,0.0054402426,0.0011462383,0.006109968,0.0009386577,0.00075193495,0.004657872,0.008346468,0.0028487816,0.011347644,0.00078605115,0.002822265,0.0247882,0.0128505975,0.0010244101,0.0014225692,0.025752313,0.015617996,0.0011299029,0.0055336505,0.002826713,0.0051680133,0.0014345795,0.00947687,0.007715106,8.895993e-05,0.0018286556,0.0014592856,0.00992585,0.0050911084,0.0021519288,0.0058196634,0.007048443,0.007089883,0.0065677315,0.004558705,0.0005821958,0.015776858,0.005004905,0.00677108,0.022410922,0.0044086203,0.009639196,0.003890179,0.0010286048,0.004157439,0.0025092512,0.004701987,0.0051208287,0.009286419,0.011566386,0.0034373552,0.02484572,0.014822416,0.013004743,0.0029803813,0.0054185167,0.018074825,0.014780536,0.004315026,0.0034914464,0.008332491,0.018354565,0.0026510954,0.006404832,0.011036143,0.0034447387,0.001417391,0.0041853487,0.0010363683,0.0071690977,0.020935625,0.0028143078,0.02105882,0.017095603,0.00041543692,0.032275915
Fri 01 Jul 2022,R3_M20_6576A,0.034458727,0.04034196,0.011468202,0.02812855,0.03134571,0.021375835,0.022010267,0.0009574592,0.007096529,0.009134889,0.014792919,0.009711415,0.016176492,0.043765664,0.002825141,0.031739116,0.054894805,0.028256506,0.02606979,0.015925646,0.040063053,0.006033331,0.026851147,0.02018565,0.028108507,0.0043588877,0.029518843,0.0044091344,0.013979614,0.021425486,0.034501135,0.04258889,0.02742052,0.0016066432,0.01729989,0.022219598,0.025288701,0.019975543,0.0035851598,0.06363714,0.013984084,0.040819943,0.024544775,0.0062428117,0.046478152,0.051746964,0.05340612,0.049160242,0.0757314,0.105490685,0.0148258805,0.017827272,0.048317432,0.0082163215,0.015909076,0.008768141,0.052366197,0.027977586,0.010396063,0.02539152,0.017359793,0.04139352,0.004170418,0.021939933,0.019791305,0.010351777,0.044930995,0.009557068,0.033795297,0.040190995,0.011740863,0.053295255,0.0043553114,0.015491605,0.049589097,0.049450874,0.07955879,0.02102387,0.042602748,0.004617721,0.028483301,0.004042685,0.008856356,0.047088653,0.002856344,0.014783353,0.008156002,0.006430924,0.056460977,0.022991419,0.0022889674,0.010703981,0.013303667,0.06365892,0.020849138,0.03453639,0.105490685
Fri 01 Jul 2022,R4_M2_8545A,0.023727864,0.004289627,0.014928818,0.07310113,0.042329833,0.0077955425,0.042234108,0.018278688,0.010182902,0.034175932,0.021763757,0.0029764771,0.07712129,0.00974524,0.0084195435,0.015391856,0.033550978,0.006232053,0.049441487,0.017803013,0.005452469,0.010282189,0.004309088,0.012706265,0.005542904,0.02051425,0.046395212,0.0014541447,0.0061757565,0.0054256916,0.0128801465,0.009517431,0.02734992,0.004480481,0.03906837,0.012885034,0.00092330575,0.0021870732,0.013878584,0.0049179792,0.032781065,0.0077634156,0.017597616,0.008017033,0.035113364,0.009369314,0.034362167,0.01696679,0.014692724,0.010473222,0.0107525885,0.009147465,0.013791442,0.016929984,0.019467533,0.03088659,0.008353442,0.0034846067,0.0026375651,9.7095966e-05,0.006838709,0.02296716,0.0023539662,0.025390357,0.013638973,0.004027486,0.02134031,0.05132231,0.0007445216,0.011140227,0.016915023,0.024873286,0.027701706,0.0018968731,0.0015790313,0.028312624,0.014891997,0.0013065934,0.03498453,0.0029626787,0.016845256,0.041433036,0.020159394,0.010984302,0.025876641,0.010726869,0.0075902343,0.020107716,0.0018518269,0.01959619,0.032823026,0.013837099,0.0005454719,0.007981449,0.0058662295,0.005127877,0.07712129
Fri 01 Jul 2022,R4_M2_8565A,0.026925102,0.010437205,0.019501656,0.062369466,0.043036,0.018792212,0.045077533,0.02940476,0.022209346,0.02720505,0.017983183,0.0027596056,0.06522077,0.0031640828,0.0045598447,0.006458789,0.042679965,0.015617788,0.048161387,0.015933424,0.0053521544,0.0102698505,0.0014529228,0.008301884,0.009060621,0.023146749,0.045069426,0.008005589,0.011252046,0.0045263767,0.009284914,0.02401635,0.03058818,0.00084868073,0.027498305,0.00840053,7.236004e-05,0.009809762,0.010912746,0.012335628,0.03244877,0.007573247,0.008731663,0.010334551,0.03946528,0.013496578,0.029116392,0.002901286,0.024791718,0.004878819,0.00073218346,0.00475204,0.010077506,0.0015960634,0.04148698,0.03738135,0.016858608,0.0075793564,0.0040867627,0.0043296814,0.0025078654,0.009016603,0.013326466,0.016387671,0.01042369,0.010753691,0.028710842,0.08287981,0.05928588,0.027640074,0.013328344,0.015020013,0.03375545,0.006929323,0.000821352,0.026834384,0.0030506253,0.0039892793,0.039622605,0.0007224083,0.010966495,0.036291033,0.021607429,0.008197337,0.02081275,0.0054522157,0.0010725558,0.02410242,0.0006209314,0.023415804,0.034396917,0.0062377453,0.015305489,0.011033535,0.010837883,0.0032816231,0.08287981
Fri 02 Dec 2022,R1_M20_6468A,0.02848956,0.03051272,0.007334128,0.03865415,0.007289037,0.04049301,0.011407375,0.02466625,0.010724992,0.0024914742,0.025115907,0.00027868152,0.0046707094,0.004556209,0.01974088,0.053274572,0.026820183,0.014179319,0.045609683,0.029709756,0.010399103,0.025290608,0.026971355,0.0017431974,0.004280299,0.01426667,0.0039696693,0.0022091568,0.007360697,0.02062437,0.03254533,0.010965407,0.011206031,0.0006815493,0.0012391508,0.004885882,0.016896665,0.051047146,0.015519798,0.0032688081,0.050177574,0.01237604,0.00035995245,0.058135957,0.020442605,0.0021042526,0.012467742,0.01909709,0.0041466355,0.0017508268,0.008241832,0.001404047,0.027343214,0.009408593,0.027930975,0.018074632,0.066203475,0.05494702,0.01404345,0.015601575,0.0036565065,0.010837853,0.04804045,0.022426665,0.02362448,0.02640462,0.015156746,0.024171293,0.025333464,0.05270928,0.062389612,0.006732404,0.001962483,0.009161174,0.05969292,0.007456839,0.10897151,0.1134392,0.026387185,0.015173972,0.02798222,0.037649766,0.05749102,0.08630009,0.0294621,0.22553593,0.032777965,0.042039156,0.011496216,0.020362735,0.04627064,0.0072048604,0.005859345,0.0051350296,0.016441584,0.0007675588,0.22553593
