,Report Date,label,Max Residual
378,Fri 25 Mar 2022,R4_M2_8545A,0.26958543
379,Fri 25 Mar 2022,R4_M2_8565A,0.30234796
380,Fri 25 Nov 2022,R1_M20_6468A,0.10654962
381,Fri 25 Nov 2022,R1_M20_6477A,0.09811741
382,Fri 25 Nov 2022,R1_M25_4094A,0.11274451
383,Fri 25 Nov 2022,R3_5889_1,0.031706735
384,Fri 25 Nov 2022,R3_M20_6576A,0.103951484
385,Fri 25 Nov 2022,R4_M2_8545A,0.06764583
386,Fri 25 Nov 2022,R4_M2_8565A,0.06342046
387,Fri 26 Aug 2022,R1_M20_6468A,0.12215206
388,Fri 26 Aug 2022,R1_M20_6477A,0.12698725
389,Fri 26 Aug 2022,R1_M25_4094A,0.12091288
390,Fri 26 Aug 2022,R2_A2_8362A,0.10011816
391,Fri 26 Aug 2022,R2_A2_8380A,0.09624356
392,Fri 26 Aug 2022,R2_M2_8431J,0.07845102
393,Fri 26 Aug 2022,R3_5889_1,0.03602609
394,Fri 26 Aug 2022,R3_M20_6576A,0.06797117
395,Fri 26 Aug 2022,R4_M2_8545A,0.06286451
396,Fri 26 Aug 2022,R4_M2_8565A,0.06668079
397,Fri 27 May 2022,R1_M20_6468A,0.13539362
398,Fri 27 May 2022,R1_M20_6477A,0.15248096
399,Fri 27 May 2022,R1_M25_4094A,0.11595231
400,Fri 27 May 2022,R2_A2_8362A,0.122828126
401,Fri 27 May 2022,R2_A2_8380A,0.11868262
402,Fri 27 May 2022,R2_M2_8431J,0.05866325
403,Fri 27 May 2022,R3_5889_1,0.043245092
404,Fri 27 May 2022,R3_M20_6576A,0.07886177
405,Fri 27 May 2022,R4_M2_8545A,0.093349636
406,Fri 27 May 2022,R4_M2_8565A,0.081824094
407,Fri 28 Jan 2022,R1_M20_6468A,0.14181727
408,Fri 28 Jan 2022,R1_M20_6477A,0.15788886
409,Fri 28 Jan 2022,R1_M25_4094A,0.2258339
410,Fri 28 Jan 2022,R2_A2_8362A,0.43410474
411,Fri 28 Jan 2022,R2_A2_8380A,0.34980088
412,Fri 28 Jan 2022,R2_M2_8431J,0.11687088
413,Fri 28 Jan 2022,R3_5889_1,0.042752467
414,Fri 28 Jan 2022,R3_M20_6576A,0.08114523
415,Fri 28 Jan 2022,R4_M2_8545A,0.12953149
